beds,price,week_price
1,49.00,343
3,220.00,1540
1,100.00,700
2,117.00,819
1,200.00,1400
1,162.00,1134
2,230.00,1610
1,173.00,1211
2,600.00,4200
3,250.00,1750
4,300.00,2100
2,189.00,1323
1,130.00,910
1,90.00,630
1,95.00,665
3,325.00,2275
2,119.00,833
1,134.00,938
3,490.00,3430
1,140.00,980
1,185.00,1295
1,550.00,3850
1,113.00,791
1,115.00,805
1,155.00,1085
1,45.00,315
1,169.00,1183
1,186.00,1302
1,77.00,539
2,250.00,1750
1,235.00,1645
1,80.00,560
3,300.00,2100
2,200.00,1400
1,200.00,1400
1,125.00,875
1,40.00,280
3,500.00,3500
2,79.00,553
1,115.00,805
4,575.00,4025
1,65.00,455
6,2000.00,14000
1,51.00,357
1,159.00,1113
1,120.00,840
1,100.00,700
1,50.00,350
1,80.00,560
1,75.00,525
1,155.00,1085
2,250.00,1750
1,55.00,385
3,450.00,3150
3,250.00,1750
2,150.00,1050
2,300.00,2100
1,170.00,1190
2,190.00,1330
1,230.00,1610
1,115.00,805
1,95.00,665
1,90.00,630
1,95.00,665
1,350.00,2450
1,130.00,910
1,4000.00,28000
1,349.00,2443
1,115.00,805
1,170.00,1190
1,115.00,805
1,133.00,931
1,232.00,1624
1,100.00,700
1,200.00,1400
2,450.00,3150
1,80.00,560
1,99.00,693
1,145.00,1015
1,215.00,1505
1,185.00,1295
1,350.00,2450
1,175.00,1225
1,165.00,1155
1,149.00,1043
1,240.00,1680
1,206.00,1442
5,575.00,4025
1,120.00,840
1,74.00,518
1,105.00,735
1,59.00,413
1,150.00,1050
1,149.00,1043
1,100.00,700
1,75.00,525
1,299.00,2093
1,68.00,476
1,99.00,693
2,211.00,1477
1,125.00,875
1,85.00,595
1,97.00,679
1,117.00,819
2,500.00,3500
1,65.00,455
2,318.00,2226
2,150.00,1050
1,75.00,525
2,100.00,700
1,285.00,1995
3,375.00,2625
1,89.00,623
1,150.00,1050
1,125.00,875
1,127.00,889
1,75.00,525
3,1500.00,10500
1,139.00,973
1,69.00,483
1,65.00,455
1,110.00,770
1,148.00,1036
2,165.00,1155
2,189.00,1323
1,150.00,1050
2,250.00,1750
3,250.00,1750
1,120.00,840
1,99.00,693
1,158.00,1106
1,100.00,700
1,125.00,875
1,80.00,560
2,69.00,483
1,85.00,595
2,200.00,1400
1,115.00,805
1,95.00,665
1,194.00,1358
1,215.00,1505
1,155.00,1085
5,800.00,5600
1,45.00,315
1,120.00,840
2,150.00,1050
1,110.00,770
3,400.00,2800
1,135.00,945
1,100.00,700
3,100.00,700
2,200.00,1400
1,70.00,490
1,145.00,1015
2,180.00,1260
,200.00,1400
2,1750.00,12250
1,450.00,3150
4,300.00,2100
2,150.00,1050
1,126.00,882
2,100.00,700
1,99.00,693
1,85.00,595
1,150.00,1050
1,255.00,1785
3,150.00,1050
1,65.00,455
3,300.00,2100
4,700.00,4900
1,34.00,238
2,240.00,1680
3,175.00,1225
3,275.00,1925
4,600.00,4200
1,42.00,294
2,225.00,1575
1,149.00,1043
1,125.00,875
1,50.00,350
1,115.00,805
1,165.00,1155
1,500.00,3500
1,120.00,840
1,300.00,2100
1,80.00,560
1,108.00,756
4,650.00,4550
1,100.00,700
1,250.00,1750
3,550.00,3850
1,126.00,882
2,341.00,2387
1,75.00,525
1,275.00,1925
1,95.00,665
1,140.00,980
2,199.00,1393
1,120.00,840
1,200.00,1400
3,250.00,1750
1,33.00,231
1,120.00,840
3,250.00,1750
2,300.00,2100
1,151.00,1057
1,119.00,833
1,76.00,532
1,100.00,700
1,98.00,686
1,65.00,455
1,175.00,1225
1,79.00,553
1,80.00,560
1,75.00,525
1,52.00,364
3,250.00,1750
3,1000.00,7000
1,95.00,665
5,1000.00,7000
3,325.00,2275
3,650.00,4550
1,65.00,455
1,125.00,875
3,325.00,2275
1,75.00,525
1,78.00,546
2,399.00,2793
2,207.00,1449
2,320.00,2240
1,101.00,707
1,99.00,693
2,300.00,2100
2,202.00,1414
1,71.00,497
1,107.00,749
2,196.00,1372
1,70.00,490
2,170.00,1190
2,225.00,1575
3,225.00,1575
1,99.00,693
1,65.00,455
1,300.00,2100
2,255.00,1785
1,95.00,665
1,75.00,525
1,90.00,630
1,105.00,735
4,50.00,350
3,463.00,3241
2,195.00,1365
1,200.00,1400
1,138.00,966
1,120.00,840
3,239.00,1673
1,140.00,980
3,195.00,1365
1,160.00,1120
2,129.00,903
2,260.00,1820
1,200.00,1400
1,140.00,980
3,300.00,2100
1,168.00,1176
4,575.00,4025
2,350.00,2450
1,135.00,945
1,100.00,700
1,97.00,679
1,139.00,973
1,110.00,770
1,300.00,2100
1,120.00,840
1,220.00,1540
1,110.00,770
3,295.00,2065
1,55.00,385
4,219.00,1533
2,325.00,2275
2,190.00,1330
1,75.00,525
1,109.00,763
1,99.00,693
1,160.00,1120
1,100.00,700
1,49.00,343
2,1200.00,8400
2,189.00,1323
1,105.00,735
1,195.00,1365
2,190.00,1330
3,350.00,2450
1,65.00,455
1,100.00,700
1,95.00,665
2,200.00,1400
1,125.00,875
2,245.00,1715
1,139.00,973
2,189.00,1323
1,250.00,1750
1,185.00,1295
3,375.00,2625
1,118.00,826
1,130.00,910
2,327.00,2289
2,80.00,560
1,175.00,1225
1,70.00,490
1,61.00,427
1,99.00,693
2,250.00,1750
1,135.00,945
1,175.00,1225
1,85.00,595
1,325.00,2275
4,250.00,1750
1,275.00,1925
1,70.00,490
1,75.00,525
2,250.00,1750
1,240.00,1680
1,195.00,1365
1,60.00,420
2,290.00,2030
1,66.00,462
1,249.00,1743
2,140.00,980
1,160.00,1120
1,99.00,693
1,60.00,420
1,150.00,1050
3,450.00,3150
1,300.00,2100
1,175.00,1225
2,800.00,5600
1,199.00,1393
2,950.00,6650
2,195.00,1365
1,120.00,840
1,95.00,665
1,129.00,903
1,200.00,1400
1,55.00,385
3,180.00,1260
1,182.00,1274
3,450.00,3150
3,232.00,1624
1,189.00,1323
1,110.00,770
3,225.00,1575
3,425.00,2975
1,199.00,1393
1,115.00,805
1,45.00,315
1,99.00,693
2,120.00,840
1,224.00,1568
1,155.00,1085
3,650.00,4550
1,100.00,700
4,220.00,1540
3,375.00,2625
3,245.00,1715
1,350.00,2450
1,95.00,665
3,1500.00,10500
1,115.00,805
4,89.00,623
1,170.00,1190
2,190.00,1330
4,300.00,2100
2,450.00,3150
2,199.00,1393
1,110.00,770
1,165.00,1155
1,100.00,700
2,190.00,1330
2,350.00,2450
1,33.00,231
5,780.00,5460
3,305.00,2135
1,95.00,665
1,89.00,623
1,109.00,763
1,55.00,385
1,135.00,945
4,360.00,2520
1,150.00,1050
1,100.00,700
1,400.00,2800
2,24.00,168
4,225.00,1575
1,140.00,980
1,128.00,896
3,150.00,1050
5,599.00,4193
3,180.00,1260
1,210.00,1470
3,315.00,2205
1,89.00,623
1,60.00,420
1,200.00,1400
1,115.00,805
2,175.00,1225
1,206.00,1442
5,449.00,3143
2,272.00,1904
2,150.00,1050
1,245.00,1715
1,89.00,623
1,75.00,525
1,58.00,406
1,200.00,1400
1,120.00,840
1,45.00,315
1,125.00,875
1,85.00,595
1,60.00,420
1,90.00,630
1,145.00,1015
1,170.00,1190
7,275.00,1925
2,190.00,1330
1,65.00,455
4,225.00,1575
1,195.00,1365
2,119.00,833
3,399.00,2793
1,95.00,665
5,210.00,1470
2,400.00,2800
1,110.00,770
1,69.00,483
1,85.00,595
1,230.00,1610
1,85.00,595
1,120.00,840
1,89.00,623
6,200.00,1400
1,60.00,420
1,80.00,560
1,175.00,1225
2,250.00,1750
1,125.00,875
1,129.00,903
1,289.00,2023
1,180.00,1260
4,300.00,2100
1,200.00,1400
1,135.00,945
1,80.00,560
1,90.00,630
1,100.00,700
1,79.00,553
2,95.00,665
4,499.00,3493
1,185.00,1295
5,575.00,4025
2,165.00,1155
4,1500.00,10500
2,285.00,1995
2,214.00,1498
1,150.00,1050
1,295.00,2065
3,202.00,1414
1,70.00,490
1,95.00,665
1,140.00,980
3,220.00,1540
2,690.00,4830
2,300.00,2100
1,100.00,700
1,115.00,805
