beds,price,week_price,amenities
1,49.00,343,"{Internet,""Wireless Internet"",""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in""}"
3,220.00,1540,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}"
1,100.00,700,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
2,117.00,819,"{TV,""Wireless Internet"",Kitchen,""Elevator in building"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}"
1,200.00,1400,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",""Hair dryer"",Iron}"
1,162.00,1134,"{Internet,""Wireless Internet"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}"
2,230.00,1610,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_50""}"
1,173.00,1211,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
2,600.00,4200,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
3,250.00,1750,"{Internet,""Wireless Internet"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Smartlock}"
4,300.00,2100,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Indoor fireplace"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",""Laptop friendly workspace""}"
2,189.00,1323,"{Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}"
1,130.00,910,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),""Hot tub"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1,90.00,630,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1,95.00,665,"{Internet,""Wireless Internet"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
3,325.00,2275,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
2,119.00,833,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron}"
1,134.00,938,"{TV,""Wireless Internet"",Heating}"
3,490.00,3430,"{""Wireless Internet"",Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}"
1,140.00,980,"{TV,""Wireless Internet"",Kitchen,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials}"
1,185.00,1295,"{TV,""Wireless Internet"",Kitchen,""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1,550.00,3850,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace""}"
1,113.00,791,"{""Cable TV"",""Wireless Internet"",Kitchen,Heating,Essentials,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance""}"
1,115.00,805,"{Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}"
1,155.00,1085,"{Internet,""Wireless Internet"",Kitchen,""Smoke detector"",Essentials}"
1,45.00,315,"{TV,""Wireless Internet"",""Smoke detector"",""Carbon monoxide detector"",Essentials,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1,169.00,1183,"{TV,""Wireless Internet"",Kitchen,Breakfast,""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}"
1,186.00,1302,"{TV,Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1,77.00,539,"{""Cable TV"",""Wireless Internet"",Kitchen,""Elevator in building"",Heating,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer""}"
2,250.00,1750,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}"
1,235.00,1645,"{Internet,""Wireless Internet"",Kitchen,""Smoking allowed"",""Pets allowed"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Laptop friendly workspace""}"
1,80.00,560,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
3,300.00,2100,"{TV,Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,""Elevator in building"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
2,200.00,1400,"{TV,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
1,200.00,1400,"{TV,""Wireless Internet"",Kitchen,Breakfast,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1,125.00,875,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
1,40.00,280,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
3,500.00,3500,"{TV,""Wireless Internet"",Kitchen,Heating,Essentials,Shampoo}"
2,79.00,553,"{""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}"
1,115.00,805,"{""Wireless Internet"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
4,575.00,4025,"{TV,Internet,""Wireless Internet"",Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox}"
1,65.00,455,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
6,2000.00,14000,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",""Laptop friendly workspace""}"
1,51.00,357,"{""Wireless Internet"",Kitchen,Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
1,159.00,1113,"{TV,Internet,""Wireless Internet"",Kitchen,Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}"
1,120.00,840,{}
1,100.00,700,"{Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,""Pets live on this property"",Dog(s),""Elevator in building"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}"
1,50.00,350,"{""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron}"
1,80.00,560,"{""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Washer,Dryer,""Smoke detector"",Shampoo}"
1,75.00,525,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}"
1,155.00,1085,"{TV,""Cable TV"",Internet,""Wireless Internet"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo}"
2,250.00,1750,"{TV,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Hair dryer"",""Laptop friendly workspace""}"
1,55.00,385,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}"
3,450.00,3150,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
3,250.00,1750,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
2,150.00,1050,"{TV,Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}"
2,300.00,2100,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer""}"
1,170.00,1190,"{Internet,""Wireless Internet"",Kitchen,Breakfast,""Elevator in building"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
2,190.00,1330,"{TV,""Cable TV"",""Wireless Internet""}"
1,230.00,1610,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}"
1,115.00,805,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
