latitude,longitude,beds,week_price,neighbourhood_cleansed,zipcode
37.75418395,-122.4065138,1,7,Mission,94110
37.75416621,-122.4215336,3,21,Mission,94110
37.75850584,-122.4061523,1,7,Mission,94110
37.75654875,-122.4220251,2,14,Mission,94110
37.76005055,-122.4213524,1,7,Mission,94110
37.75949488,-122.4248737,1,7,Mission,94110
37.76099687,-122.4131237,2,14,Mission,94110
37.75054282,-122.4165585,1,7,Mission,94110
37.75628818,-122.4087377,2,14,Mission,94110
37.75724642,-122.4093147,3,21,Mission,94110
37.74932935,-122.4107925,4,28,Mission,94110
37.7513531,-122.4176588,2,14,Mission,94110
37.75199246,-122.4042105,1,7,Mission,94110
37.76142933,-122.4193501,1,7,Mission,94110
37.76652079,-122.4246601,1,7,Mission,94103
37.75995514,-122.4241064,3,21,Mission,94110
37.75870167,-122.42124,2,14,Mission,94110
37.76147949,-122.4157135,1,7,Mission,94110
37.75939066,-122.4211674,3,21,Mission,94110
37.74961782,-122.4181314,1,7,Mission,94110
37.75958581,-122.4100011,1,7,Mission,94110
37.75560551,-122.4067193,1,7,Mission,94110
37.7505213,-122.4073568,1,7,Mission,94110
37.76832743,-122.4250571,1,7,Mission,94103
37.76888719,-122.4240599,1,7,Mission,94103
37.75134306,-122.4226501,1,7,Mission,94110
37.75506955,-122.4168171,1,7,Mission,94110
37.7622065,-122.4198954,1,7,Mission,94110
37.753852,-122.4111577,1,7,Mission,94110
37.76251893,-122.4242846,2,14,Mission,94110
37.76531007,-122.4246905,1,7,Mission,94110
37.76362666,-122.4253853,1,7,Mission,94110
37.7681406,-122.4253676,3,21,Mission,94103
37.75866765,-122.42388,2,14,Mission,94110
37.76148205,-122.4092539,1,7,Mission,94110
37.75399609,-122.4177063,1,7,Mission,94110
37.75328433,-122.4118579,1,7,Mission,94110
37.75028261,-122.4156194,3,21,Mission,94110
37.75813182,-122.4141177,2,14,Mission,94110
37.75754497,-122.4201252,1,7,Mission,94110
37.76249605,-122.422603,4,28,Mission,94110
37.7580424,-122.4211011,1,7,Mission,94110
37.75788359,-122.4075305,6,42,Mission,94110
37.75456441,-122.4125264,1,7,Mission,94110
37.75239754,-122.4244804,1,7,Mission,94110
37.76911001,-122.4119345,1,7,Mission,94103
37.76862344,-122.4244366,1,7,Mission,94103
37.76066203,-122.4208268,1,7,Mission,94110
37.75826018,-122.4083304,1,7,Mission,94110
37.75596136,-122.4095302,1,7,Mission,94110
37.75942336,-122.4075424,1,7,Mission,94110
37.75993231,-122.4213667,2,14,Mission,94110
37.77021195,-122.4228986,1,7,Mission,94103
37.75065685,-122.4234918,3,21,Mission,94110
37.74944922,-122.4095556,3,21,Mission,94110
37.75375109,-122.4252011,2,14,Mission,94110
37.75641542,-122.4128513,2,14,Mission,94110
37.76772249,-122.422152,1,7,Mission,94103
37.75151485,-122.4245018,2,14,Mission,94110
37.75440053,-122.412507,1,7,Mission,94110
37.75309747,-122.4199679,1,7,Mission,94110
37.75780405,-122.4214434,1,7,Mission,94110
37.74970235,-122.4066375,1,7,Mission,94110
37.76645745,-122.4253543,1,7,Mission,94103
37.75089762,-122.4148136,1,7,Mission,94110
37.75110865,-122.4187323,1,7,Mission,94110
37.75526258,-122.4249664,1,7,Mission,94114
37.75691789,-122.4111644,1,7,Mission,94110
37.76096715,-122.4231305,1,7,Mission,94110
37.75849371,-122.4157999,1,7,Mission,94110
37.74825404,-122.4176816,1,7,Mission,94110
37.75267808,-122.4075329,1,7,Mission,94110
37.76455721,-122.4239801,1,7,Mission,94110
37.751588,-122.4187695,1,7,Mission,94110
37.75618418,-122.421447,1,7,Mission,94110
37.7569887,-122.4085638,2,14,Mission,94110
37.76313587,-122.4079654,1,7,Mission,94110
37.74907405,-122.4124016,1,7,Mission,94110
37.75083547,-122.4234114,1,7,Mission,94110
37.75857822,-122.4222351,1,7,Mission,94110
37.75913346,-122.4196755,1,7,Mission,94110
37.75746793,-122.4125947,1,7,Mission,94110
37.76171887,-122.4234831,1,7,Mission,94110
37.76867194,-122.4178576,1,7,Mission,94103
37.76379548,-122.425448,1,7,Mission,94110
37.77017333,-122.4215716,1,7,Mission,94103
37.76025251,-122.4166307,1,7,Mission,94103
37.75104087,-122.4186658,5,35,Mission,94110
37.76764528,-122.4239505,1,7,Mission,94103
37.75122694,-122.4183758,1,7,Mission,94110
37.76667538,-122.4170325,1,7,Mission,94103
37.76054446,-122.421676,1,7,Mission,94110
37.75110161,-122.4241432,1,7,Mission,94110
37.76045876,-122.4190438,1,7,Mission,94110
37.75311615,-122.4086315,1,7,Mission,94110
37.75731078,-122.4095373,1,7,Mission,94110
37.75174324,-122.4162526,1,7,Mission,94110
37.76777714,-122.4243382,1,7,Mission,94103
37.76121341,-122.4086907,1,7,Mission,94110
37.75297177,-122.4128058,2,14,Mission,94110
37.75833813,-122.4229128,1,7,Mission,94110
37.76040329,-122.415501,1,7,Mission,94110
37.75753955,-122.4106128,1,7,Mission,94110
37.75271742,-122.4093401,1,7,Mission,94110
37.76059363,-122.4185532,2,14,Mission,94110
37.74851144,-122.4172331,1,7,Mission,94110
37.75842278,-122.4119598,2,14,Mission,94110
37.75996482,-122.4179394,2,14,Mission,94110
37.76403193,-122.4248225,1,7,Mission,94103
37.74964663,-122.4175526,2,14,Mission,94110
37.76945631,-122.4227033,1,7,Mission,94103
37.7682995,-122.4253431,3,21,Mission,94103
37.7644722,-122.418478,1,7,Mission,94110
37.76896906,-122.4108756,1,7,Mission,94110
37.7594018,-122.4181344,1,7,Mission,94110
37.75991582,-122.4191283,1,7,Mission,94110
37.75446376,-122.4224758,1,7,Mission,94110
37.74984557,-122.4239428,3,21,Mission,94110
37.7614406,-122.4213018,1,7,Mission,94110
37.75327879,-122.4118102,1,7,Mission,94110
37.75017197,-122.41734,1,7,Mission,94110
37.74936883,-122.4223664,1,7,Mission,94110
37.7660067,-122.4183305,1,7,Mission,
37.74866918,-122.4213935,2,14,Mission,94110
37.76864954,-122.42457,2,14,Mission,94103
37.76601194,-122.4229685,1,7,Mission,94103
37.75845746,-122.4086654,2,14,Mission,94110
37.757922,-122.4141182,3,21,Mission,94110
37.75877365,-122.4108145,1,7,Mission,94110
37.74979106,-122.4087655,1,7,Mission,94110
37.76573017,-122.4209976,1,7,Mission,94103
37.76058002,-122.4254066,1,7,Mission,94110
37.7673056,-122.4254201,1,7,Mission,94103
37.75884751,-122.4059452,1,7,Mission,94110
37.76845419,-122.4216172,2,14,Mission,94103
37.75696962,-122.4076487,1,7,Mission,94110
37.74847017,-122.417238,2,14,Mission,94110
37.75597989,-122.4152521,1,7,Mission,94110
37.77037944,-122.4222524,1,7,Mission,94103
37.76725835,-122.4223948,1,7,Mission,94103
37.76006538,-122.4186564,1,7,Mission,94110
37.75454377,-122.4111001,1,7,Mission,94110
37.75469124,-122.4226532,5,35,Mission,94110
37.75239589,-122.4129407,1,7,Mission,94110
37.7674576,-122.4232362,1,7,Mission,94103
37.75796429,-122.4197255,2,14,Mission,94110
37.75495392,-122.4168309,1,7,Mission,94110
37.76400671,-122.4175282,3,21,Mission,94110
37.74991628,-122.4082173,1,7,Mission,94110
37.75243517,-122.4152028,1,7,Mission,94110
37.75219564,-122.4170061,3,21,Mission,94110
37.75465229,-122.4101758,2,14,Mission,94110
37.75767012,-122.4174079,1,7,Mission,94110
37.75742313,-122.4236494,1,7,Mission,94114
37.76374505,-122.4124976,2,14,Mission,94110
37.75750508,-122.4235015,,0,Mission,94110
37.76173049,-122.4256579,2,14,Mission,94110
37.75522798,-122.4179171,1,7,Mission,94110
37.75886312,-122.423116,4,28,Mission,94110
37.75631937,-122.404779,2,14,Mission,94110
37.74852106,-122.4212581,1,7,Mission,94110
37.75574133,-122.4115589,2,14,Mission,94110
37.76012321,-122.4250197,1,7,Mission,94110
37.75300435,-122.403943,1,7,Mission,94110
37.75298744,-122.4242477,1,7,Mission,94110
37.77002888,-122.4237134,1,7,Mission,94103
37.75112586,-122.4230647,3,21,Mission,94110
37.75498191,-122.4193609,1,7,Mission,94110
37.75992683,-122.408211,3,21,Mission,94110
37.74905921,-122.4182666,4,28,Mission,94110
37.7690889,-122.4239827,1,7,Mission,94103
37.75695181,-122.4116516,2,14,Mission,94110
37.75300727,-122.4040496,3,21,Mission,94110
37.75646678,-122.4164391,3,21,Mission,94110
37.75349384,-122.4195855,4,28,Mission,94110
37.75317766,-122.4244942,1,7,Mission,94110
37.76052871,-122.4090437,2,14,Mission,94110
37.76108383,-122.425571,1,7,Mission,94110
37.76848691,-122.4206638,1,7,Mission,94103
37.74981207,-122.4150952,1,7,Mission,94110
37.75769932,-122.4200553,1,7,Mission,94110
37.75781911,-122.4108124,1,7,Mission,94110
37.75603488,-122.4112037,1,7,Mission,94110
37.76673598,-122.4240911,1,7,Mission,94103
37.74947188,-122.4185612,1,7,Mission,94110
