beds,price,number_of_reviews
1,49.00,1
3,220.00,9
1,100.00,2
2,117.00,2
1,200.00,0
1,162.00,63
2,230.00,7
1,173.00,50
2,600.00,0
3,250.00,41
4,300.00,23
2,189.00,132
1,130.00,115
1,90.00,0
1,95.00,66
3,325.00,16
2,119.00,65
1,134.00,3
3,490.00,10
1,140.00,4
1,185.00,7
1,550.00,0
1,113.00,293
1,115.00,0
1,155.00,12
1,45.00,0
1,169.00,12
1,186.00,29
1,77.00,3
2,250.00,10
1,235.00,10
1,80.00,2
3,300.00,22
2,200.00,1
1,200.00,4
1,125.00,138
1,40.00,0
3,500.00,0
2,79.00,3
1,115.00,5
4,575.00,11
1,65.00,7
6,2000.00,0
1,51.00,1
1,159.00,30
1,120.00,1
1,100.00,72
1,50.00,1
1,80.00,1
1,75.00,2
1,155.00,132
2,250.00,4
1,55.00,8
3,450.00,9
3,250.00,45
2,150.00,1
2,300.00,21
1,170.00,4
2,190.00,1
1,230.00,29
1,115.00,25
1,95.00,6
1,90.00,31
1,95.00,11
1,350.00,0
1,130.00,8
1,4000.00,40
1,349.00,20
1,115.00,231
1,170.00,3
1,115.00,12
1,133.00,97
1,232.00,18
1,100.00,0
1,200.00,23
2,450.00,0
1,80.00,2
1,99.00,88
1,145.00,133
1,215.00,3
1,185.00,5
1,350.00,0
1,175.00,10
1,165.00,22
1,149.00,23
1,240.00,0
1,206.00,123
5,575.00,7
1,120.00,14
1,74.00,1
1,105.00,36
1,59.00,110
1,150.00,6
1,149.00,78
1,100.00,0
1,75.00,19
1,299.00,1
1,68.00,160
1,99.00,0
2,211.00,37
1,125.00,7
1,85.00,4
1,97.00,33
1,117.00,234
2,500.00,0
1,65.00,1
2,318.00,7
2,150.00,0
1,75.00,3
2,100.00,3
1,285.00,12
3,375.00,0
1,89.00,2
1,150.00,31
1,125.00,0
1,127.00,2
1,75.00,46
3,1500.00,0
1,139.00,2
1,69.00,2
1,65.00,4
1,110.00,2
1,148.00,0
2,165.00,3
2,189.00,5
1,150.00,6
2,250.00,38
3,250.00,23
1,120.00,1
1,99.00,5
1,158.00,1
1,100.00,35
1,125.00,177
1,80.00,0
2,69.00,13
1,85.00,10
2,200.00,31
1,115.00,23
1,95.00,6
1,194.00,27
1,215.00,0
1,155.00,21
5,800.00,0
1,45.00,4
1,120.00,114
2,150.00,3
1,110.00,383
3,400.00,0
1,135.00,79
1,100.00,13
3,100.00,3
2,200.00,0
1,70.00,6
1,145.00,9
2,180.00,4
,200.00,0
2,1750.00,0
1,450.00,0
4,300.00,7
2,150.00,24
1,126.00,22
2,100.00,1
1,99.00,10
1,85.00,94
1,150.00,9
1,255.00,32
3,150.00,41
1,65.00,3
3,300.00,0
4,700.00,3
1,34.00,0
2,240.00,45
3,175.00,180
3,275.00,12
4,600.00,68
1,42.00,16
2,225.00,0
1,149.00,6
1,125.00,27
1,50.00,1
1,115.00,0
1,165.00,17
1,500.00,1
1,120.00,2
1,300.00,0
1,80.00,97
1,108.00,0
4,650.00,20
1,100.00,3
1,250.00,10
3,550.00,9
1,126.00,60
2,341.00,51
1,75.00,3
1,275.00,21
1,95.00,7
1,140.00,2
2,199.00,7
1,120.00,2
1,200.00,0
3,250.00,1
1,33.00,108
1,120.00,18
3,250.00,0
2,300.00,0
1,151.00,0
1,119.00,6
1,76.00,3
1,100.00,0
1,98.00,1
1,65.00,0
1,175.00,23
1,79.00,68
1,80.00,0
1,75.00,1
1,52.00,2
3,250.00,248
3,1000.00,0
1,95.00,6
5,1000.00,0
3,325.00,6
3,650.00,3
1,65.00,66
1,125.00,1
3,325.00,17
1,75.00,1
1,78.00,1
2,399.00,64
2,207.00,6
2,320.00,7
1,101.00,167
1,99.00,90
2,300.00,12
2,202.00,61
1,71.00,11
1,107.00,5
2,196.00,150
1,70.00,295
2,170.00,1
2,225.00,7
3,225.00,0
1,99.00,127
1,65.00,3
1,300.00,0
2,255.00,31
1,95.00,78
1,75.00,0
1,90.00,18
1,105.00,5
4,50.00,3
3,463.00,5
2,195.00,29
1,200.00,8
1,138.00,0
1,120.00,1
3,239.00,104
1,140.00,21
3,195.00,8
1,160.00,1
2,129.00,4
2,260.00,13
1,200.00,3
1,140.00,137
3,300.00,5
1,168.00,1
4,575.00,16
2,350.00,3
1,135.00,39
1,100.00,15
1,97.00,5
1,139.00,2
1,110.00,0
1,300.00,0
1,120.00,4
1,220.00,1
1,110.00,40
3,295.00,41
1,55.00,113
4,219.00,0
2,325.00,4
2,190.00,1
1,75.00,0
1,109.00,77
1,99.00,179
1,160.00,59
1,100.00,0
1,49.00,19
2,1200.00,0
2,189.00,55
1,105.00,194
1,195.00,60
2,190.00,1
3,350.00,27
1,65.00,0
1,100.00,0
1,95.00,9
2,200.00,1
1,125.00,2
2,245.00,20
1,139.00,0
2,189.00,22
1,250.00,4
1,185.00,0
3,375.00,3
1,118.00,2
1,130.00,37
2,327.00,34
2,80.00,88
1,175.00,1
1,70.00,0
1,61.00,4
1,99.00,7
2,250.00,8
1,135.00,18
1,175.00,13
1,85.00,0
1,325.00,0
4,250.00,30
1,275.00,4
1,70.00,34
1,75.00,2
2,250.00,13
1,240.00,10
1,195.00,168
1,60.00,1
2,290.00,55
1,66.00,0
1,249.00,4
2,140.00,173
1,160.00,29
1,99.00,60
1,60.00,3
1,150.00,0
3,450.00,8
1,300.00,7
1,175.00,0
2,800.00,1
1,199.00,27
2,950.00,4
2,195.00,31
1,120.00,0
1,95.00,91
1,129.00,56
1,200.00,4
1,55.00,7
3,180.00,12
1,182.00,4
3,450.00,1
3,232.00,64
1,189.00,82
1,110.00,118
3,225.00,0
3,425.00,67
1,199.00,64
1,115.00,6
1,45.00,1
1,99.00,0
2,120.00,3
1,224.00,25
1,155.00,0
3,650.00,28
1,100.00,0
4,220.00,7
3,375.00,3
3,245.00,8
1,350.00,0
1,95.00,0
3,1500.00,0
1,115.00,0
4,89.00,69
1,170.00,47
2,190.00,20
4,300.00,46
2,450.00,12
2,199.00,21
1,110.00,0
1,165.00,16
1,100.00,113
2,190.00,0
2,350.00,21
1,33.00,92
5,780.00,17
3,305.00,50
1,95.00,3
1,89.00,57
1,109.00,15
1,55.00,94
1,135.00,1
4,360.00,4
1,150.00,1
1,100.00,2
1,400.00,0
2,24.00,5
4,225.00,41
1,140.00,243
1,128.00,5
3,150.00,117
5,599.00,10
3,180.00,123
1,210.00,8
3,315.00,98
1,89.00,2
1,60.00,11
1,200.00,14
1,115.00,21
2,175.00,43
1,206.00,2
5,449.00,12
2,272.00,112
2,150.00,4
1,245.00,17
1,89.00,9
1,75.00,6
1,58.00,0
1,200.00,0
1,120.00,5
1,45.00,1
1,125.00,2
1,85.00,37
1,60.00,76
1,90.00,53
1,145.00,203
1,170.00,55
7,275.00,0
2,190.00,0
1,65.00,14
4,225.00,14
1,195.00,9
2,119.00,135
3,399.00,21
1,95.00,6
5,210.00,97
2,400.00,0
1,110.00,16
1,69.00,2
1,85.00,20
1,230.00,9
1,85.00,0
1,120.00,1
1,89.00,56
6,200.00,3
1,60.00,0
1,80.00,0
1,175.00,0
2,250.00,6
1,125.00,73
1,129.00,124
1,289.00,19
1,180.00,6
4,300.00,5
1,200.00,1
1,135.00,5
1,80.00,158
1,90.00,48
1,100.00,0
1,79.00,0
2,95.00,2
4,499.00,16
1,185.00,34
5,575.00,0
2,165.00,5
4,1500.00,0
2,285.00,11
2,214.00,65
1,150.00,2
1,295.00,4
3,202.00,4
1,70.00,12
1,95.00,2
1,140.00,16
3,220.00,10
2,690.00,0
2,300.00,23
1,100.00,12
1,115.00,14
1,84.00,20
1,150.00,1
2,285.00,106
3,425.00,92
3,1200.00,9
3,350.00,2
1,169.00,120
2,195.00,6
